ablated_concept,measured_concept,on_target,r1_accuracy,r2_similarity,delta_r1,delta_r2
time,time,True,0.6666666666666666,0.9893054342269898,0.0,6.925821304315516e-05
time,place,False,0.7333333333333333,0.99127197265625,-0.033333333333333326,-4.1208267211878535e-05
time,tools,False,0.13333333333333333,0.9897384524345398,0.0,-4.644632339478871e-05
place,time,False,0.7,0.9894312000274659,-0.033333333333333326,-5.650758743291906e-05
place,place,True,0.7,0.9912161779403686,0.0,1.4586448669473562e-05
place,tools,False,0.13333333333333333,0.9898125123977661,0.0,-0.00012050628662108043
tools,time,False,0.6666666666666666,0.9894787240028381,0.0,-0.00010403156280514025
tools,place,False,0.7,0.9913891887664795,0.0,-0.0001584243774414018
tools,tools,True,0.13333333333333333,0.9897804570198059,0.0,-8.845090866083094e-05
