concept,cav_method,layer,technique,alpha,r1_accuracy,r2_similarity,r1_baseline,r2_baseline,delta_r1,delta_r2,removal_ratio
time,mean_diff,6,subtraction,1.5,0.6666666666666666,0.9893422865867615,0.6666666666666666,0.989374692440033,0.0,3.240585327146661e-05,-0.3835
time,mean_diff,6,subtraction,3.5,0.6666666666666666,0.9893054342269898,0.6666666666666666,0.989374692440033,0.0,6.925821304315516e-05,-0.8948
time,mean_diff,6,subtraction,6.0,0.5333333333333333,0.9892692804336548,0.6666666666666666,0.989374692440033,0.1333333333333333,0.00010541200637814718,-1.5339
time,mean_diff,6,projection,1.5,0.8333333333333334,0.9897885942459106,0.6666666666666666,0.989374692440033,-0.16666666666666674,-0.0004139018058776367,1.5
time,mean_diff,6,projection,3.5,1.0,0.9910807156562805,0.6666666666666666,0.989374692440033,-0.33333333333333337,-0.0017060232162475764,3.5
time,mean_diff,6,projection,6.0,1.0,0.9917914056777954,0.6666666666666666,0.989374692440033,-0.33333333333333337,-0.002416713237762491,6.0
time,mean_diff,10,subtraction,1.5,0.6666666666666666,0.9893664455413819,0.6666666666666666,0.989374692440033,0.0,8.24689865108752e-06,0.3922
time,mean_diff,10,subtraction,3.5,0.6666666666666666,0.9893582725524902,0.6666666666666666,0.989374692440033,0.0,1.6419887542751255e-05,0.9152
time,mean_diff,10,subtraction,6.0,0.6333333333333333,0.9893527245521545,0.6666666666666666,0.989374692440033,0.033333333333333326,2.1967887878449055e-05,1.5689
time,mean_diff,10,projection,1.5,0.8333333333333334,0.9900998854637146,0.6666666666666666,0.989374692440033,-0.16666666666666674,-0.0007251930236816806,1.5
time,mean_diff,10,projection,3.5,1.0,0.9910067248344422,0.6666666666666666,0.989374692440033,-0.33333333333333337,-0.001632032394409233,3.5
time,mean_diff,10,projection,6.0,1.0,0.9905037593841552,0.6666666666666666,0.989374692440033,-0.33333333333333337,-0.0011290669441222922,6.0
time,svm,6,subtraction,1.5,0.6666666666666666,0.989376585483551,0.6666666666666666,0.989374692440033,0.0,-1.8930435180530836e-06,0.3215
time,svm,6,subtraction,3.5,0.6666666666666666,0.9893829798698426,0.6666666666666666,0.989374692440033,0.0,-8.287429809628044e-06,0.7501
time,svm,6,subtraction,6.0,0.6333333333333333,0.9893976092338562,0.6666666666666666,0.989374692440033,0.033333333333333326,-2.2916793823268833e-05,1.2858
time,svm,6,projection,1.5,0.6333333333333333,0.9892657947540283,0.6666666666666666,0.989374692440033,0.033333333333333326,0.00010889768600463867,1.5
time,svm,6,projection,3.5,0.6333333333333333,0.9892463278770447,0.6666666666666666,0.989374692440033,0.033333333333333326,0.00012836456298825905,3.5
time,svm,6,projection,6.0,0.6333333333333333,0.989452657699585,0.6666666666666666,0.989374692440033,0.033333333333333326,-7.796525955205968e-05,6.0
time,svm,10,subtraction,1.5,0.6666666666666666,0.9893427848815918,0.6666666666666666,0.989374692440033,0.0,3.190755844117987e-05,0.1893
time,svm,10,subtraction,3.5,0.6666666666666666,0.9893019270896911,0.6666666666666666,0.989374692440033,0.0,7.276535034184128e-05,0.4418
time,svm,10,subtraction,6.0,0.6666666666666666,0.9892538404464721,0.6666666666666666,0.989374692440033,0.0,0.0001208519935608221,0.7573
time,svm,10,projection,1.5,0.6666666666666666,0.9891305637359619,0.6666666666666666,0.989374692440033,0.0,0.00024412870407108933,1.5
time,svm,10,projection,3.5,0.6666666666666666,0.988711256980896,0.6666666666666666,0.989374692440033,0.0,0.0006634354591369407,3.5
time,svm,10,projection,6.0,0.6333333333333333,0.9881920266151428,0.6666666666666666,0.989374692440033,0.033333333333333326,0.0011826658248901278,6.0
place,mean_diff,6,subtraction,1.5,0.7,0.9912216448783875,0.7,0.9912307643890381,0.0,9.119510650634766e-06,0.018
place,mean_diff,6,subtraction,3.5,0.7,0.9912161779403686,0.7,0.9912307643890381,0.0,1.4586448669473562e-05,0.042
place,mean_diff,6,subtraction,6.0,0.6666666666666666,0.9912204027175904,0.7,0.9912307643890381,0.033333333333333326,1.0361671447745024e-05,0.0719
place,mean_diff,6,projection,1.5,0.2,0.99718266248703,0.7,0.9912307643890381,0.49999999999999994,-0.005951898097991903,1.5
place,mean_diff,6,projection,3.5,0.0,0.99836834192276,0.7,0.9912307643890381,0.7,-0.007137577533721906,3.5
place,mean_diff,6,projection,6.0,0.0,0.998227105140686,0.7,0.9912307643890381,0.7,-0.0069963407516479,6.0
place,mean_diff,10,subtraction,1.5,0.7,0.9912487721443176,0.7,0.9912307643890381,0.0,-1.8007755279492166e-05,-22.7286
place,mean_diff,10,subtraction,3.5,0.7,0.9912755584716797,0.7,0.9912307643890381,0.0,-4.479408264157492e-05,-53.0334
place,mean_diff,10,subtraction,6.0,0.7,0.9913134169578552,0.7,0.9912307643890381,0.0,-8.265256881712091e-05,-90.9144
place,mean_diff,10,projection,1.5,0.7666666666666667,0.9912697625160217,0.7,0.9912307643890381,-0.06666666666666676,-3.899812698360261e-05,1.5
place,mean_diff,10,projection,3.5,0.8,0.9912342286109924,0.7,0.9912307643890381,-0.10000000000000009,-3.4642219542968533e-06,3.4999
place,mean_diff,10,projection,6.0,0.8,0.9911695313453674,0.7,0.9912307643890381,-0.10000000000000009,6.123304367067206e-05,6.0
place,svm,6,subtraction,1.5,0.7,0.9912248277664184,0.7,0.9912307643890381,0.0,5.936622619717724e-06,3.2828
place,svm,6,subtraction,3.5,0.7,0.9912213945388794,0.7,0.9912307643890381,0.0,9.36985015875802e-06,7.6598
place,svm,6,subtraction,6.0,0.7,0.9912244391441345,0.7,0.9912307643890381,0.0,6.325244903626626e-06,13.1311
place,svm,6,projection,1.5,0.7,0.9911682295799256,0.7,0.9912307643890381,0.0,6.253480911255771e-05,1.5
place,svm,6,projection,3.5,0.7,0.9911346435546875,0.7,0.9912307643890381,0.0,9.612083435062146e-05,3.5
place,svm,6,projection,6.0,0.7333333333333333,0.9912174773216248,0.7,0.9912307643890381,-0.033333333333333326,1.3287067413325637e-05,6.0
place,svm,10,subtraction,1.5,0.7,0.9911965107917786,0.7,0.9912307643890381,0.0,3.425359725950372e-05,-1.6844
place,svm,10,subtraction,3.5,0.7,0.9911523890495301,0.7,0.9912307643890381,0.0,7.83753395080522e-05,-3.9303
place,svm,10,subtraction,6.0,0.7,0.9910998964309692,0.7,0.9912307643890381,0.0,0.00013086795806893647,-6.7377
place,svm,10,projection,1.5,0.7,0.9911437630653381,0.7,0.9912307643890381,0.0,8.70013236999867e-05,1.5
place,svm,10,projection,3.5,0.7,0.9909879016876221,0.7,0.9912307643890381,0.0,0.0002428627014160467,3.5
place,svm,10,projection,6.0,0.7,0.990738890171051,0.7,0.9912307643890381,0.0,0.0004918742179871316,6.0
tools,mean_diff,6,subtraction,1.5,0.13333333333333333,0.9897299456596375,0.13333333333333333,0.989692006111145,0.0,-3.7939548492404995e-05,-0.0037
tools,mean_diff,6,subtraction,3.5,0.13333333333333333,0.9897804570198059,0.13333333333333333,0.989692006111145,0.0,-8.845090866083094e-05,-0.0086
tools,mean_diff,6,subtraction,6.0,0.13333333333333333,0.9898431181907654,0.13333333333333333,0.989692006111145,0.0,-0.00015111207962037465,-0.0148
tools,mean_diff,6,projection,1.5,0.6666666666666666,0.9861947870254517,0.13333333333333333,0.989692006111145,-0.5333333333333333,0.003497219085693337,1.5
tools,mean_diff,6,projection,3.5,0.9666666666666667,0.977540557384491,0.13333333333333333,0.989692006111145,-0.8333333333333334,0.01215144872665408,3.5
tools,mean_diff,6,projection,6.0,1.0,0.9855976581573487,0.13333333333333333,0.989692006111145,-0.8666666666666667,0.004094347953796373,6.0
tools,mean_diff,10,subtraction,1.5,0.13333333333333333,0.9896363687515258,0.13333333333333333,0.989692006111145,0.0,5.563735961922056e-05,-0.0038
tools,mean_diff,10,subtraction,3.5,0.13333333333333333,0.9895638990402221,0.13333333333333333,0.989692006111145,0.0,0.00012810707092292262,-0.0088
tools,mean_diff,10,subtraction,6.0,0.13333333333333333,0.9894750046730042,0.13333333333333333,0.989692006111145,0.0,0.00021700143814085138,-0.0151
tools,mean_diff,10,projection,1.5,0.8666666666666667,0.9944748997688293,0.13333333333333333,0.989692006111145,-0.7333333333333334,-0.004782893657684251,1.5
tools,mean_diff,10,projection,3.5,1.0,0.9905940222740174,0.13333333333333333,0.989692006111145,-0.8666666666666667,-0.0009020161628723322,3.5
tools,mean_diff,10,projection,6.0,1.0,0.9907724905014038,0.13333333333333333,0.989692006111145,-0.8666666666666667,-0.0010804843902587624,6.0
tools,svm,6,subtraction,1.5,0.13333333333333333,0.9897037363052368,0.13333333333333333,0.989692006111145,0.0,-1.1730194091730262e-05,3.1463
tools,svm,6,subtraction,3.5,0.13333333333333333,0.9897242665290833,0.13333333333333333,0.989692006111145,0.0,-3.2260417938245745e-05,7.3414
tools,svm,6,subtraction,6.0,0.13333333333333333,0.9897579073905944,0.13333333333333333,0.989692006111145,0.0,-6.59012794493874e-05,12.5853
tools,svm,6,projection,1.5,0.13333333333333333,0.9897179436683655,0.13333333333333333,0.989692006111145,0.0,-2.5937557220467866e-05,1.5
tools,svm,6,projection,3.5,0.1,0.9897449922561645,0.13333333333333333,0.989692006111145,0.033333333333333326,-5.298614501947352e-05,3.5
tools,svm,6,projection,6.0,0.03333333333333333,0.9898037075996399,0.13333333333333333,0.989692006111145,0.1,-0.00011170148849481976,6.0
tools,svm,10,subtraction,1.5,0.13333333333333333,0.989692394733429,0.13333333333333333,0.989692006111145,0.0,-3.886222839089015e-07,0.849
tools,svm,10,subtraction,3.5,0.13333333333333333,0.9896952557563782,0.13333333333333333,0.989692006111145,0.0,-3.2496452331276515e-06,1.981
tools,svm,10,subtraction,6.0,0.13333333333333333,0.9897027063369751,0.13333333333333333,0.989692006111145,0.0,-1.070022583005148e-05,3.396
tools,svm,10,projection,1.5,0.13333333333333333,0.9894946193695069,0.13333333333333333,0.989692006111145,0.0,0.0001973867416381614,1.5
tools,svm,10,projection,3.5,0.13333333333333333,0.9889188480377197,0.13333333333333333,0.989692006111145,0.0,0.0007731580734253729,3.5
tools,svm,10,projection,6.0,0.13333333333333333,0.9879072093963623,0.13333333333333333,0.989692006111145,0.0,0.0017847967147827104,6.0
