concept,mode,n_layers,alpha,centering,direction,r1_accuracy,r2_similarity,r1_baseline,r2_baseline,delta_r1,delta_r2
time,single_L3,1,1.0,centered,ablation,0.6666666666666666,0.9893288111686707,0.6666666666666666,0.989374692440033,0.0,4.5881271362291365e-05
time,single_L3,1,1.0,raw,ablation,0.6666666666666666,0.9893288230895996,0.6666666666666666,0.989374692440033,0.0,4.5869350433380696e-05
time,single_L3,1,4.0,centered,ablation,0.5666666666666667,0.9891770362854004,0.6666666666666666,0.989374692440033,0.09999999999999998,0.0001976561546325195
time,single_L3,1,4.0,raw,ablation,0.5666666666666667,0.9891770505905151,0.6666666666666666,0.989374692440033,0.09999999999999998,0.00019764184951787112
time,multi_early,3,1.0,centered,ablation,0.5333333333333333,0.9891553401947022,0.6666666666666666,0.989374692440033,0.1333333333333333,0.0002193522453307617
time,multi_early,3,1.0,raw,ablation,0.5333333333333333,0.9891553521156311,0.6666666666666666,0.989374692440033,0.1333333333333333,0.00021934032440185103
time,multi_early,3,4.0,centered,ablation,0.3333333333333333,0.9897773313522339,0.6666666666666666,0.989374692440033,0.3333333333333333,-0.0004026389122009366
time,multi_early,3,4.0,raw,ablation,0.3333333333333333,0.9897773480415344,0.6666666666666666,0.989374692440033,0.3333333333333333,-0.00040265560150143376
time,multi_all,12,1.0,centered,ablation,0.23333333333333334,0.9889035534858703,0.6666666666666666,0.989374692440033,0.4333333333333333,0.00047113895416261986
time,multi_all,12,1.0,raw,ablation,0.23333333333333334,0.9889035606384278,0.6666666666666666,0.989374692440033,0.4333333333333333,0.00047113180160518464
time,multi_all,12,4.0,centered,ablation,0.0,0.9942569518089295,0.6666666666666666,0.989374692440033,0.6666666666666666,-0.004882259368896524
time,multi_all,12,4.0,raw,ablation,0.0,0.9942569375038147,0.6666666666666666,0.989374692440033,0.6666666666666666,-0.004882245063781765
place,single_L3,1,1.0,centered,ablation,0.7,0.9911295199394226,0.7,0.9912307643890381,0.0,0.00010124444961556733
place,single_L3,1,1.0,raw,ablation,0.7,0.9911295199394226,0.7,0.9912307643890381,0.0,0.00010124444961556733
place,single_L3,1,4.0,centered,ablation,0.6333333333333333,0.9909755539894104,0.7,0.9912307643890381,0.06666666666666665,0.0002552103996277255
place,single_L3,1,4.0,raw,ablation,0.6333333333333333,0.9909755468368531,0.7,0.9912307643890381,0.06666666666666665,0.0002552175521850497
place,multi_early,3,1.0,centered,ablation,0.6666666666666666,0.9909815382957459,0.7,0.9912307643890381,0.033333333333333326,0.0002492260932922541
place,multi_early,3,1.0,raw,ablation,0.6666666666666666,0.9909815669059754,0.7,0.9912307643890381,0.033333333333333326,0.00024919748306273526
place,multi_early,3,4.0,centered,ablation,0.26666666666666666,0.9913440537452698,0.7,0.9912307643890381,0.4333333333333333,-0.00011328935623167169
place,multi_early,3,4.0,raw,ablation,0.26666666666666666,0.9913440561294555,0.7,0.9912307643890381,0.4333333333333333,-0.00011329174041740941
place,multi_all,12,1.0,centered,ablation,0.3,0.9911304759979248,0.7,0.9912307643890381,0.39999999999999997,0.00010028839111331234
place,multi_all,12,1.0,raw,ablation,0.3,0.9911304712295532,0.7,0.9912307643890381,0.39999999999999997,0.00010029315948489881
place,multi_all,12,4.0,centered,ablation,0.0,0.9947768521308898,0.7,0.9912307643890381,0.7,-0.0035460877418517223
place,multi_all,12,4.0,raw,ablation,0.0,0.9947768139839173,0.7,0.9912307643890381,0.7,-0.0035460495948791415
tools,single_L3,1,1.0,centered,ablation,0.13333333333333333,0.9898783278465271,0.13333333333333333,0.989692006111145,0.0,-0.00018632173538202235
tools,single_L3,1,1.0,raw,ablation,0.13333333333333333,0.9898783278465271,0.13333333333333333,0.989692006111145,0.0,-0.00018632173538202235
tools,single_L3,1,4.0,centered,ablation,0.1,0.9906877970695496,0.13333333333333333,0.989692006111145,0.033333333333333326,-0.0009957909584045188
tools,single_L3,1,4.0,raw,ablation,0.1,0.9906877708435059,0.13333333333333333,0.989692006111145,0.033333333333333326,-0.0009957647323608487
tools,multi_early,3,1.0,centered,ablation,0.1,0.9903516101837159,0.13333333333333333,0.989692006111145,0.033333333333333326,-0.0006596040725708185
tools,multi_early,3,1.0,raw,ablation,0.1,0.9903516387939453,0.13333333333333333,0.989692006111145,0.033333333333333326,-0.0006596326828002264
tools,multi_early,3,4.0,centered,ablation,0.0,0.9912368774414062,0.13333333333333333,0.989692006111145,0.13333333333333333,-0.001544871330261155
tools,multi_early,3,4.0,raw,ablation,0.0,0.9912368774414062,0.13333333333333333,0.989692006111145,0.13333333333333333,-0.001544871330261155
tools,multi_all,12,1.0,centered,ablation,0.0,0.9899843192100525,0.13333333333333333,0.989692006111145,0.13333333333333333,-0.0002923130989074263
tools,multi_all,12,1.0,raw,ablation,0.0,0.989984347820282,0.13333333333333333,0.989692006111145,0.13333333333333333,-0.0002923417091369451
tools,multi_all,12,4.0,centered,ablation,0.0,0.9985449194908143,0.13333333333333333,0.989692006111145,0.13333333333333333,-0.008852913379669203
tools,multi_all,12,4.0,raw,ablation,0.0,0.9985449266433716,0.13333333333333333,0.989692006111145,0.13333333333333333,-0.008852920532226527
time,multi_all,12,4.0,centered,amplification,1.0,0.9962884330749512,0.6666666666666666,0.989374692440033,-0.33333333333333337,-0.006913740634918231
place,multi_all,12,4.0,centered,amplification,0.8,0.9956055355072021,0.7,0.9912307643890381,-0.10000000000000009,-0.004374771118163978
tools,multi_all,12,4.0,centered,amplification,1.0,0.9961436653137207,0.13333333333333333,0.989692006111145,-0.8666666666666667,-0.006451659202575621
