concept,cav_method,layer,technique,alpha,r1_accuracy,r2a_similarity,r2b_similarity,r1_baseline,r2a_baseline,r2b_baseline,delta_r1,delta_r2a,delta_r2b
bee,mean_diff,24,projection,3.0,0.7333333333333333,0.4487017571926117,0.9197750012079875,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.0,0.038652682304382346,0.08022469282150269
bee,mean_diff,24,projection,6.0,0.7333333333333333,0.404315064350764,0.768065349260966,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.0,0.08303937514623005,0.23193434476852415
bee,mean_diff,24,projection,10.0,0.26666666666666666,0.16516284197568892,0.4239314615726471,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.4666666666666666,0.3221915975213051,0.5760682324568431
bee,mean_diff,24,projection,15.0,0.13333333333333333,0.00499957213178277,0.17698856939872107,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.6,0.48235486736521127,0.8230111246307691
bee,mean_diff,24,projection,20.0,0.06666666666666667,-0.05694983700911204,0.07640287913382053,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.6666666666666666,0.544304276506106,0.9235968148956697
bee,mean_diff,27,projection,3.0,0.6666666666666666,0.4193633198738098,0.9194944540659586,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.06666666666666665,0.06799111962318422,0.08050523996353154
bee,mean_diff,27,projection,6.0,0.6666666666666666,0.3159724473953247,0.7459295908610026,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.06666666666666665,0.17138199210166932,0.25407010316848755
bee,mean_diff,27,projection,10.0,0.4,0.09674807315071424,0.41162083148956297,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.33333333333333326,0.39060636634627977,0.5883788625399272
bee,mean_diff,27,projection,15.0,0.3333333333333333,-0.001654902659356594,0.1815015494823456,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.39999999999999997,0.4890093421563506,0.8184981445471446
bee,mean_diff,27,projection,20.0,0.13333333333333333,-0.03901778260866801,0.08428146491448084,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.6,0.526372222105662,0.9157182291150093
bee,svm,16,projection,3.0,0.6666666666666666,0.5043984174728393,0.9868661085764567,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.06666666666666665,-0.01704397797584528,0.013133585453033447
bee,svm,16,projection,6.0,0.6666666666666666,0.4858275135358175,0.9516074577967326,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.06666666666666665,0.0015269259611765396,0.04839223623275757
bee,svm,16,projection,10.0,0.6,0.3806885878245036,0.873124901453654,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.1333333333333333,0.10666585167249043,0.12687479257583623
bee,svm,16,projection,15.0,0.6,0.3492785215377808,0.7418975909550984,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.1333333333333333,0.13807591795921326,0.25810210307439174
bee,svm,16,projection,20.0,0.8666666666666667,0.3929969310760498,0.6591962059338887,0.7333333333333333,0.48735443949699403,0.9999996940294902,-0.13333333333333341,0.0943575084209442,0.34080348809560146
bee,svm,24,projection,3.0,0.7333333333333333,0.48972139358520506,0.9856088519096374,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.0,-0.0023669540882110263,0.014390842119852754
bee,svm,24,projection,6.0,0.6666666666666666,0.46242504517237343,0.9524238506952921,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.06666666666666665,0.024929394324620602,0.047575843334198065
bee,svm,24,projection,10.0,0.4666666666666667,0.41447365283966064,0.893623149394989,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.2666666666666666,0.07288078665733339,0.10637654463450119
bee,svm,24,projection,15.0,0.06666666666666667,0.35711909929911295,0.8073071718215943,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.6666666666666666,0.13023534019788108,0.1926925222078959
bee,svm,24,projection,20.0,0.0,0.31007601221402487,0.723264217376709,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.7333333333333333,0.17727842728296916,0.2767354766527812
bee,svm,27,projection,3.0,0.7333333333333333,0.5000356376171112,0.9927090922991435,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.0,-0.012681198120117199,0.00729060173034668
bee,svm,27,projection,6.0,0.6,0.49762927492459613,0.9748308300971985,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.1333333333333333,-0.010274835427602103,0.025168863932291674
bee,svm,27,projection,10.0,0.3333333333333333,0.47691109776496887,0.9415820916493733,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.39999999999999997,0.010443341732025158,0.05841760238011684
bee,svm,27,projection,15.0,0.13333333333333333,0.4370691398779551,0.887505296866099,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.6,0.05028529961903894,0.11249439716339116
bee,svm,27,projection,20.0,0.0,0.39005417625109357,0.8264134128888448,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.7333333333333333,0.09730026324590046,0.17358628114064534
horse,mean_diff,16,projection,3.0,0.0,0.4989578028519948,0.9883011460304261,0.0,0.4987942337989807,0.9999996781349182,0.0,-0.00016356905301412317,0.011698532104492121
horse,mean_diff,16,projection,6.0,0.0,0.49778778354326886,0.953322152296702,0.0,0.4987942337989807,0.9999996781349182,0.0,0.0010064502557118327,0.04667752583821616
horse,mean_diff,16,projection,10.0,0.0,0.5113352060317993,0.8557892282803853,0.0,0.4987942337989807,0.9999996781349182,0.0,-0.012540972232818581,0.1442104498545329
horse,mean_diff,16,projection,15.0,0.0,0.4140591561794281,0.7182708938916524,0.0,0.4987942337989807,0.9999996781349182,0.0,0.08473507761955257,0.28172878424326575
horse,mean_diff,16,projection,20.0,0.0,0.338524129986763,0.5899805982907613,0.0,0.4987942337989807,0.9999996781349182,0.0,0.16027010381221768,0.41001907984415686
horse,mean_diff,24,projection,3.0,0.0,0.5122811138629914,0.9917452931404114,0.0,0.4987942337989807,0.9999996781349182,0.0,-0.013486880064010665,0.008254384994506814
horse,mean_diff,24,projection,6.0,0.0,0.5121628661950429,0.9707733631134033,0.0,0.4987942337989807,0.9999996781349182,0.0,-0.01336863239606223,0.029226315021514848
horse,mean_diff,24,projection,10.0,0.0,0.4811636606852214,0.926690932114919,0.0,0.4987942337989807,0.9999996781349182,0.0,0.017630573113759318,0.07330874601999915
horse,mean_diff,24,projection,15.0,0.0,0.4183058182398478,0.8537427703539531,0.0,0.4987942337989807,0.9999996781349182,0.0,0.08048841555913289,0.14625690778096512
horse,mean_diff,24,projection,20.0,0.0,0.36544735034306847,0.7662256797154744,0.0,0.4987942337989807,0.9999996781349182,0.0,0.13334688345591222,0.2337739984194438
horse,mean_diff,27,projection,3.0,0.0,0.506026166677475,0.9932957768440247,0.0,0.4987942337989807,0.9999996781349182,0.0,-0.007231932878494329,0.006703901290893488
horse,mean_diff,27,projection,6.0,0.0,0.5002187371253968,0.9748811006546021,0.0,0.4987942337989807,0.9999996781349182,0.0,-0.0014245033264160822,0.025118577480316095
horse,mean_diff,27,projection,10.0,0.0,0.4724973261356354,0.9350168108940125,0.0,0.4987942337989807,0.9999996781349182,0.0,0.026296907663345304,0.06498286724090574
horse,mean_diff,27,projection,15.0,0.0,0.4236501713593801,0.8674200812975565,0.0,0.4987942337989807,0.9999996781349182,0.0,0.07514406243960059,0.13257959683736165
horse,mean_diff,27,projection,20.0,0.0,0.3733192801475525,0.781418776512146,0.0,0.4987942337989807,0.9999996781349182,0.0,0.1254749536514282,0.21858090162277222
horse,svm,16,projection,3.0,0.0,0.4875841637452443,0.9845056176185608,0.0,0.4987942337989807,0.9999996781349182,0.0,0.011210070053736365,0.015494060516357377
horse,svm,16,projection,6.0,0.0,0.47027364174524944,0.9316290974617004,0.0,0.4987942337989807,0.9999996781349182,0.0,0.028520592053731253,0.06837058067321777
horse,svm,16,projection,10.0,0.0,0.41653244296709696,0.7927457133928935,0.0,0.4987942337989807,0.9999996781349182,0.0,0.08226179083188373,0.20725396474202473
horse,svm,16,projection,15.0,0.0,0.27910771866639456,0.6394904931386312,0.0,0.4987942337989807,0.9999996781349182,0.0,0.21968651513258614,0.36050918499628704
horse,svm,16,projection,20.0,0.0,-0.18128631561994552,0.5117974440256755,0.0,0.4987942337989807,0.9999996781349182,0.0,0.6800805494189262,0.4882022341092427
horse,svm,24,projection,3.0,0.0,0.5104682604471843,0.9899143695831298,0.0,0.4987942337989807,0.9999996781349182,0.0,-0.011674026648203606,0.010085308551788352
horse,svm,24,projection,6.0,0.0,0.5084209084510803,0.9643534700075785,0.0,0.4987942337989807,0.9999996781349182,0.0,-0.009626674652099654,0.03564620812733965
horse,svm,24,projection,10.0,0.0,0.4948170026143392,0.9234365701675415,0.0,0.4987942337989807,0.9999996781349182,0.0,0.003977231184641494,0.07656310796737664
horse,svm,24,projection,15.0,0.0,0.47801311214764913,0.8574779351552327,0.0,0.4987942337989807,0.9999996781349182,0.0,0.020781121651331558,0.14252174297968545
horse,svm,24,projection,20.0,0.0,0.4238520880540212,0.7791899522145589,0.0,0.4987942337989807,0.9999996781349182,0.0,0.0749421457449595,0.2208097259203593
horse,svm,27,projection,3.0,0.0,0.4943285604317983,0.994263478120168,0.0,0.4987942337989807,0.9999996781349182,0.0,0.004465673367182399,0.00573620001475017
horse,svm,27,projection,6.0,0.0,0.4873256742954254,0.9778737942377727,0.0,0.4987942337989807,0.9999996781349182,0.0,0.011468559503555298,0.022125883897145537
horse,svm,27,projection,10.0,0.0,0.5097947458426157,0.9412515958150228,0.0,0.4987942337989807,0.9999996781349182,0.0,-0.011000512043635058,0.05874808231989537
horse,svm,27,projection,15.0,0.0,0.4730124294757843,0.8569180448849996,0.0,0.4987942337989807,0.9999996781349182,0.0,0.025781804323196378,0.14308163324991863
horse,svm,27,projection,20.0,0.0,0.3803388516108195,0.7603441119194031,0.0,0.4987942337989807,0.9999996781349182,0.0,0.1184553821881612,0.2396555662155151
penguin,mean_diff,16,projection,3.0,1.0,0.6143380174270043,0.8962865059192364,1.0,0.4889291410262768,0.9999996882218581,0.0,-0.1254088764007275,0.10371318230262172
penguin,mean_diff,16,projection,6.0,0.8461538461538461,0.5856397702143743,0.5167084107032189,1.0,0.4889291410262768,0.9999996882218581,0.15384615384615385,-0.09671062918809747,0.4832912775186392
penguin,mean_diff,16,projection,10.0,0.15384615384615385,,,1.0,0.4889291410262768,0.9999996882218581,0.8461538461538461,,
penguin,mean_diff,16,projection,15.0,0.7692307692307693,,,1.0,0.4889291410262768,0.9999996882218581,0.23076923076923073,,
penguin,mean_diff,16,projection,20.0,0.9230769230769231,,,1.0,0.4889291410262768,0.9999996882218581,0.07692307692307687,,
penguin,mean_diff,24,projection,3.0,1.0,0.4964523957325862,0.9484139222365159,1.0,0.4889291410262768,0.9999996882218581,0.0,-0.007523254706309379,0.05158576598534226
penguin,mean_diff,24,projection,6.0,1.0,0.46462042056597197,0.849238973397475,1.0,0.4889291410262768,0.9999996882218581,0.0,0.024308720460304856,0.15076071482438314
penguin,mean_diff,24,projection,10.0,0.0,0.35226969535534197,0.6684426023409917,1.0,0.4889291410262768,0.9999996882218581,1.0,0.13665944567093485,0.3315570858808664
penguin,mean_diff,24,projection,15.0,0.0,0.2109044400545267,0.395948935013551,1.0,0.4889291410262768,0.9999996882218581,1.0,0.27802470097175014,0.6040507532083071
penguin,mean_diff,24,projection,20.0,0.0,0.09545806451485707,0.2321312129497528,1.0,0.4889291410262768,0.9999996882218581,1.0,0.39347107651141977,0.7678684752721053
penguin,mean_diff,27,projection,3.0,1.0,0.5200506013173324,0.9574516644844642,1.0,0.4889291410262768,0.9999996882218581,0.0,-0.031121460291055558,0.04254802373739397
penguin,mean_diff,27,projection,6.0,1.0,0.4134230178136092,0.8625279802542466,1.0,0.4889291410262768,0.9999996882218581,0.0,0.07550612321266764,0.13747170796761154
penguin,mean_diff,27,projection,10.0,0.15384615384615385,0.2695917762242831,0.6637028914231521,1.0,0.4889291410262768,0.9999996882218581,0.8461538461538461,0.21933736480199373,0.33629679679870605
penguin,mean_diff,27,projection,15.0,0.0,0.16377903578373101,0.4220691185731154,1.0,0.4889291410262768,0.9999996882218581,1.0,0.32515010524254584,0.5779305696487427
penguin,mean_diff,27,projection,20.0,0.0,0.10366199452143449,0.2681904641481546,1.0,0.4889291410262768,0.9999996882218581,1.0,0.38526714650484234,0.7318092240737035
penguin,svm,16,projection,3.0,1.0,0.5351044168839088,0.9338553639558645,1.0,0.4889291410262768,0.9999996882218581,0.0,-0.046175275857631926,0.06614432426599359
penguin,svm,16,projection,6.0,0.6153846153846154,0.6201187647306002,0.6596037699626043,1.0,0.4889291410262768,0.9999996882218581,0.3846153846153846,-0.1311896237043234,0.34039591825925386
penguin,svm,16,projection,10.0,0.0,0.46797885115330035,0.6132544462497418,1.0,0.4889291410262768,0.9999996882218581,1.0,0.02095028987297648,0.38674524197211635
penguin,svm,16,projection,15.0,0.3076923076923077,0.07582103117154194,0.34746670722961426,1.0,0.4889291410262768,0.9999996882218581,0.6923076923076923,0.4131081098547349,0.6525329809922439
penguin,svm,16,projection,20.0,0.38461538461538464,-0.10790854692459106,0.26455535223850835,1.0,0.4889291410262768,0.9999996882218581,0.6153846153846154,0.5968376879508679,0.7354443359833498
penguin,svm,24,projection,3.0,1.0,0.523011849476741,0.9927386091305659,1.0,0.4889291410262768,0.9999996882218581,0.0,-0.03408270845046413,0.007261079091292255
penguin,svm,24,projection,6.0,1.0,0.5305622632686908,0.9778414368629456,1.0,0.4889291410262768,0.9999996882218581,0.0,-0.041633122242414,0.022158251358912584
penguin,svm,24,projection,10.0,0.07692307692307693,0.5205676830731906,0.9458335546346811,1.0,0.4889291410262768,0.9999996882218581,0.9230769230769231,-0.03163854204691374,0.054166133587177034
penguin,svm,24,projection,15.0,0.0,0.4827894683067615,0.8870275524946359,1.0,0.4889291410262768,0.9999996882218581,1.0,0.006139672719515321,0.1129721357272222
penguin,svm,24,projection,20.0,0.0,0.42928873346402097,0.8196090184725248,1.0,0.4889291410262768,0.9999996882218581,1.0,0.05964040756225586,0.18039066974933338
penguin,svm,27,projection,3.0,1.0,0.5142318789775555,0.9976347409761869,1.0,0.4889291410262768,0.9999996882218581,0.0,-0.025302737951278687,0.0023649472456712672
penguin,svm,27,projection,6.0,1.0,0.5256375807982224,0.9935971452639654,1.0,0.4889291410262768,0.9999996882218581,0.0,-0.0367084397719456,0.006402542957892776
penguin,svm,27,projection,10.0,1.0,0.5170261561870575,0.9857798081177932,1.0,0.4889291410262768,0.9999996882218581,0.0,-0.02809701516078067,0.014219880104064941
penguin,svm,27,projection,15.0,0.07692307692307693,0.48354824918967027,0.9721360940199631,1.0,0.4889291410262768,0.9999996882218581,0.9230769230769231,0.0053808918366065606,0.027863594201894992
penguin,svm,27,projection,20.0,0.0,0.44283780226340663,0.9550734437428988,1.0,0.4889291410262768,0.9999996882218581,1.0,0.04609133876287019,0.04492624447895932
violin,mean_diff,16,projection,3.0,1.0,0.5833012461662292,0.9704072541660733,1.0,0.5036530494689941,0.9999996953540378,0.0,-0.07964819669723511,0.029592441187964447
violin,mean_diff,16,projection,6.0,0.8888888888888888,0.5421516497929891,0.9043171869383918,1.0,0.5036530494689941,0.9999996953540378,0.11111111111111116,-0.03849860032399499,0.09568250841564596
violin,mean_diff,16,projection,10.0,1.0,0.521405405468411,0.6820258564419217,1.0,0.5036530494689941,0.9999996953540378,0.0,-0.017752355999416825,0.31797383891211606
violin,mean_diff,16,projection,15.0,0.0,0.32330307943953407,0.3582507802380456,1.0,0.5036530494689941,0.9999996953540378,1.0,0.18034997002946007,0.6417489151159922
violin,mean_diff,16,projection,20.0,0.0,0.2015974356068505,0.308892273861501,1.0,0.5036530494689941,0.9999996953540378,1.0,0.30205561386214363,0.6911074214925368
violin,mean_diff,24,projection,3.0,1.0,0.49296527438693577,0.9975192745526632,1.0,0.5036530494689941,0.9999996953540378,0.0,0.01068777508205837,0.002480420801374561
violin,mean_diff,24,projection,6.0,0.8888888888888888,0.49198760588963825,0.9893695910771688,1.0,0.5036530494689941,0.9999996953540378,0.11111111111111116,0.011665443579355894,0.010630104276868946
violin,mean_diff,24,projection,10.0,0.3333333333333333,0.5010347697469923,0.9664039015769958,1.0,0.5036530494689941,0.9999996953540378,0.6666666666666667,0.002618279722001793,0.033595793777041916
violin,mean_diff,24,projection,15.0,0.0,0.45544599493344623,0.9096036023563809,1.0,0.5036530494689941,0.9999996953540378,1.0,0.04820705453554791,0.09039609299765683
violin,mean_diff,24,projection,20.0,0.0,0.3963303003046248,0.8452479640642802,1.0,0.5036530494689941,0.9999996953540378,1.0,0.10732274916436935,0.1547517312897576
violin,mean_diff,27,projection,3.0,1.0,0.5010440217124091,0.9942811992433336,1.0,0.5036530494689941,0.9999996953540378,0.0,0.002609027756585003,0.005718496110704185
violin,mean_diff,27,projection,6.0,0.8888888888888888,0.49021418889363605,0.9762939347161187,1.0,0.5036530494689941,0.9999996953540378,0.11111111111111116,0.013438860575358091,0.02370576063791907
violin,mean_diff,27,projection,10.0,0.8888888888888888,0.46589164932568866,0.9313868747817146,1.0,0.5036530494689941,0.9999996953540378,0.11111111111111116,0.03776140014330548,0.06861282057232321
violin,mean_diff,27,projection,15.0,0.5555555555555556,0.4237824049260881,0.8418762154049344,1.0,0.5036530494689941,0.9999996953540378,0.4444444444444444,0.07987064454290604,0.15812347994910336
violin,mean_diff,27,projection,20.0,0.5555555555555556,0.38485603862338597,0.7464144859049056,1.0,0.5036530494689941,0.9999996953540378,0.4444444444444444,0.11879701084560818,0.2535852094491322
violin,svm,16,projection,3.0,1.0,0.551700062221951,0.9515606496069167,1.0,0.5036530494689941,0.9999996953540378,0.0,-0.048047012752956864,0.0484390457471211
violin,svm,16,projection,6.0,0.7777777777777778,0.43480093942748177,0.8507241871621873,1.0,0.5036530494689941,0.9999996953540378,0.2222222222222222,0.06885211004151237,0.14927550819185043
violin,svm,16,projection,10.0,0.0,0.4015579620997111,0.7486145165231493,1.0,0.5036530494689941,0.9999996953540378,1.0,0.10209508736928302,0.2513851788308885
violin,svm,16,projection,15.0,0.0,0.4238384697172377,0.6904322836134169,1.0,0.5036530494689941,0.9999996953540378,1.0,0.07981457975175643,0.30956741174062086
violin,svm,16,projection,20.0,0.3333333333333333,0.446764287021425,0.6332641972435845,1.0,0.5036530494689941,0.9999996953540378,0.6666666666666667,0.05688876244756913,0.36673549811045325
violin,svm,24,projection,3.0,1.0,0.5085910691155328,0.9943786263465881,1.0,0.5036530494689941,0.9999996953540378,0.0,-0.004938019646538616,0.0056210690074496306
violin,svm,24,projection,6.0,0.7777777777777778,0.4944228033224742,0.9837617807918124,1.0,0.5036530494689941,0.9999996953540378,0.2222222222222222,0.00923024614651996,0.016237914562225342
violin,svm,24,projection,10.0,0.0,0.48033931189113194,0.9615760909186469,1.0,0.5036530494689941,0.9999996953540378,1.0,0.023313737577862204,0.038423604435390835
violin,svm,24,projection,15.0,0.0,0.44081204136212665,0.9197386436992221,1.0,0.5036530494689941,0.9999996953540378,1.0,0.06284100810686749,0.08026105165481567
violin,svm,24,projection,20.0,0.0,0.3847588565614488,0.8705690503120422,1.0,0.5036530494689941,0.9999996953540378,1.0,0.11889419290754533,0.12943064504199553
violin,svm,27,projection,3.0,0.7777777777777778,0.5011885563532511,0.9968959622912936,1.0,0.5036530494689941,0.9999996953540378,0.2222222222222222,0.0024644931157430383,0.0031037330627441406
violin,svm,27,projection,6.0,0.4444444444444444,0.48718813723988,0.9899084700478448,1.0,0.5036530494689941,0.9999996953540378,0.5555555555555556,0.016464912229114115,0.010091225306192997
violin,svm,27,projection,10.0,0.0,0.4613487952285343,0.9735357893837823,1.0,0.5036530494689941,0.9999996953540378,1.0,0.04230425424045986,0.026463905970255497
violin,svm,27,projection,15.0,0.0,0.3955869674682617,0.9447283148765564,1.0,0.5036530494689941,0.9999996953540378,1.0,0.10806608200073242,0.05527138047748137
violin,svm,27,projection,20.0,0.0,0.3246016800403595,0.9131465024418302,1.0,0.5036530494689941,0.9999996953540378,1.0,0.17905136942863464,0.08685319291220761
bird,mean_diff,16,projection,3.0,0.0,0.515117613474528,0.9753163456916809,0.0,0.4855507870515188,0.9999997655550639,0.0,-0.02956682642300923,0.02468341986338296
bird,mean_diff,16,projection,6.0,0.0,0.4290761967500051,0.8284961700439453,0.0,0.4855507870515188,0.9999997655550639,0.0,0.056474590301513694,0.1715035955111186
bird,mean_diff,16,projection,10.0,0.0,,,0.0,0.4855507870515188,0.9999997655550639,0.0,,
bird,svm,16,projection,3.0,0.0,0.5770830710728964,0.9188163081804911,0.0,0.4855507870515188,0.9999997655550639,0.0,-0.09153228402137759,0.08118345737457278
bird,svm,16,projection,6.0,0.0,0.6398901462554931,0.430137046178182,0.0,0.4855507870515188,0.9999997655550639,0.0,-0.15433935920397435,0.5698627193768819
bird,svm,16,projection,10.0,0.0,-0.1190946896870931,0.5972947220007578,0.0,0.4855507870515188,0.9999997655550639,0.0,0.6046454767386119,0.40270504355430603
bird,svm,16,projection,15.0,0.0,-0.1628149410088857,0.5274345993995666,0.0,0.4855507870515188,0.9999997655550639,0.0,0.6483657280604045,0.47256516615549726
tabby_cat,mean_diff,16,projection,3.0,0.0,0.4777154803276062,0.9609458327293396,0.0,0.4646729866663615,0.999999753634135,0.0,-0.013042493661244714,0.039053920904795314
tabby_cat,mean_diff,16,projection,6.0,0.0,0.4637427131334941,0.901672915617625,0.0,0.4646729866663615,0.999999753634135,0.0,0.0009302735328673983,0.09832683801650999
tabby_cat,mean_diff,16,projection,10.0,0.0,0.4141411244869232,0.7730017383893331,0.0,0.4646729866663615,0.999999753634135,0.0,0.05053186217943828,0.2269980152448019
tabby_cat,mean_diff,16,projection,15.0,0.0,0.39978460073471067,0.6496534804503123,0.0,0.4646729866663615,0.999999753634135,0.0,0.0648883859316508,0.3503462731838226
tabby_cat,mean_diff,16,projection,20.0,0.0,-0.16785493592421213,0.32257994810740154,0.0,0.4646729866663615,0.999999753634135,0.0,0.6325279225905736,0.6774198055267334
