concept,cav_method,layer,technique,alpha,r1_accuracy,r2a_similarity,r2b_similarity,r1_baseline,r2a_baseline,r2b_baseline,delta_r1,delta_r2a,delta_r2b
camel,mean_diff,16,projection,3.0,0.375,0.4983442537486553,0.9789453074336052,0.375,0.46999039500951767,0.9999997690320015,0.0,-0.02835385873913765,0.0210544615983963
camel,mean_diff,16,projection,6.0,0.375,0.6787318140268326,0.7575341910123825,0.375,0.46999039500951767,0.9999997690320015,0.0,-0.2087414190173149,0.242465578019619
camel,mean_diff,16,projection,10.0,0.375,0.5920855551958084,0.4847451522946358,0.375,0.46999039500951767,0.9999997690320015,0.0,-0.12209516018629074,0.5152546167373657
camel,mean_diff,16,projection,15.0,0.375,0.4537996016442776,0.5095570161938667,0.375,0.46999039500951767,0.9999997690320015,0.0,0.016190793365240097,0.49044275283813477
camel,mean_diff,16,projection,20.0,0.25,0.3475097343325615,0.40765031427145004,0.375,0.46999039500951767,0.9999997690320015,0.125,0.12248066067695618,0.5923494547605515
camel,mean_diff,24,projection,3.0,0.375,0.445340383797884,0.8933384343981743,0.375,0.46999039500951767,0.9999997690320015,0.0,0.024650011211633682,0.10666133463382721
camel,mean_diff,24,projection,6.0,0.0,0.33496444672346115,0.6876108944416046,0.375,0.46999039500951767,0.9999997690320015,0.375,0.13502594828605652,0.3123888745903969
camel,mean_diff,24,projection,10.0,0.0,0.04141495726071298,0.2531257625669241,0.375,0.46999039500951767,0.9999997690320015,0.375,0.4285754377488047,0.7468740064650774
camel,mean_diff,24,projection,15.0,0.0,-0.05675281165167689,0.09040396939963102,0.375,0.46999039500951767,0.9999997690320015,0.375,0.5267432066611946,0.9095957996323705
camel,mean_diff,24,projection,20.0,0.0,-0.08983636181801558,0.03394692693836987,0.375,0.46999039500951767,0.9999997690320015,0.375,0.5598267568275332,0.9660528420936316
camel,mean_diff,27,projection,3.0,0.0,0.4631481021642685,0.8666296079754829,0.375,0.46999039500951767,0.9999997690320015,0.375,0.006842292845249176,0.13337016105651855
camel,mean_diff,27,projection,6.0,0.0,0.20315602235496044,0.5527114644646645,0.375,0.46999039500951767,0.9999997690320015,0.375,0.26683437265455723,0.44728830456733704
camel,mean_diff,27,projection,10.0,0.0,0.002103220671415329,0.1983779538422823,0.375,0.46999039500951767,0.9999997690320015,0.375,0.46788717433810234,0.8016218151897192
camel,mean_diff,27,projection,15.0,0.0,-0.06965401815250516,0.07144605042412877,0.375,0.46999039500951767,0.9999997690320015,0.375,0.5396444131620228,0.9285537186078727
camel,mean_diff,27,projection,20.0,0.0,-0.10066718887537718,0.023767432081513107,0.375,0.46999039500951767,0.9999997690320015,0.375,0.5706575838848948,0.9762323369504884
camel,svm,16,projection,3.0,0.375,0.4659893065690994,0.9394218772649765,0.375,0.46999039500951767,0.9999997690320015,0.0,0.004001088440418243,0.060577891767024994
camel,svm,16,projection,6.0,0.375,0.676819309592247,0.4973407872021198,0.375,0.46999039500951767,0.9999997690320015,0.0,-0.20682891458272934,0.5026589818298817
camel,svm,16,projection,10.0,0.375,-0.20337781123816967,0.7530856654047966,0.375,0.46999039500951767,0.9999997690320015,0.0,0.6733682062476873,0.2469141036272049
camel,svm,16,projection,15.0,0.0,-0.36918917298316956,0.15296669863164425,0.375,0.46999039500951767,0.9999997690320015,0.375,0.8391795679926872,0.8470330704003572
camel,svm,16,projection,20.0,0.0,-0.3640167564153671,0.07811006251722574,0.375,0.46999039500951767,0.9999997690320015,0.375,0.8340071514248848,0.9218897065147758
camel,svm,24,projection,3.0,0.375,0.5041351951658726,0.9781038016080856,0.375,0.46999039500951767,0.9999997690320015,0.0,-0.034144800156354904,0.021895967423915863
camel,svm,24,projection,6.0,0.375,0.49269333854317665,0.9195638969540596,0.375,0.46999039500951767,0.9999997690320015,0.0,-0.02270294353365898,0.0804358720779419
camel,svm,24,projection,10.0,0.125,0.45205483213067055,0.8176543638110161,0.375,0.46999039500951767,0.9999997690320015,0.25,0.017935562878847122,0.1823454052209854
camel,svm,24,projection,15.0,0.125,0.38530271127820015,0.6980587840080261,0.375,0.46999039500951767,0.9999997690320015,0.25,0.08468768373131752,0.3019409850239754
camel,svm,24,projection,20.0,0.0,0.3132030628621578,0.5881755128502846,0.375,0.46999039500951767,0.9999997690320015,0.375,0.15678733214735985,0.4118242561817169
camel,svm,27,projection,3.0,0.375,0.49550876021385193,0.9874607250094414,0.375,0.46999039500951767,0.9999997690320015,0.0,-0.02551836520433426,0.01253904402256012
camel,svm,27,projection,6.0,0.375,0.4998423308134079,0.9567836970090866,0.375,0.46999039500951767,0.9999997690320015,0.0,-0.02985193580389023,0.043216072022914886
camel,svm,27,projection,10.0,0.125,0.4776010327041149,0.8957927003502846,0.375,0.46999039500951767,0.9999997690320015,0.25,-0.007610637694597244,0.10420706868171692
camel,svm,27,projection,15.0,0.0,0.42253684997558594,0.8070863038301468,0.375,0.46999039500951767,0.9999997690320015,0.375,0.04745354503393173,0.1929134652018547
camel,svm,27,projection,20.0,0.0,0.3603980094194412,0.717454582452774,0.375,0.46999039500951767,0.9999997690320015,0.375,0.10959238559007645,0.28254518657922745
bee,mean_diff,16,projection,3.0,0.7333333333333333,0.5760055760542552,0.975862960020701,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.0,-0.08865113655726115,0.02413673400878913
bee,mean_diff,16,projection,6.0,0.7333333333333333,0.40878597696622215,0.9325156132380168,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.0,0.07856846253077188,0.06748408079147339
bee,mean_diff,16,projection,10.0,0.8666666666666667,,,0.7333333333333333,0.48735443949699403,0.9999996940294902,-0.13333333333333341,,
bee,mean_diff,16,projection,15.0,0.26666666666666666,,,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.4666666666666666,,
bee,mean_diff,16,projection,20.0,0.13333333333333333,,,0.7333333333333333,0.48735443949699403,0.9999996940294902,0.6,,
